Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
MOV10L1,"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse)",0.00,0.00,0.00,0.00,0.01
MPHOSPH10,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein),3.65,3.46,3.70,3.96,2.76
MPHOSPH6,M-phase phosphoprotein 6,2.58,2.18,1.66,2.45,1.61
MRM1,mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae),2.78,3.13,3.40,2.61,2.73
MRP63,mitochondrial ribosomal protein 63,14.17,12.48,13.50,14.64,11.33
MRPL1,mitochondrial ribosomal protein L1,0.53,0.36,0.35,0.55,0.34
MRPL10,mitochondrial ribosomal protein L10,9.42,9.71,10.71,8.63,11.80
MRPL11,mitochondrial ribosomal protein L11,19.34,19.41,20.77,19.18,13.72
MRPL12,mitochondrial ribosomal protein L12,18.98,16.64,16.19,17.68,10.13
MRPL13,mitochondrial ribosomal protein L13,1.44,0.74,0.73,1.44,1.90
MRPL14,mitochondrial ribosomal protein L14,3.40,2.87,2.77,3.48,2.12
MRPL15,mitochondrial ribosomal protein L15,7.65,5.60,5.91,7.43,7.86
MRPL16,mitochondrial ribosomal protein L16,18.67,15.46,17.08,18.79,17.42
MRPL17,mitochondrial ribosomal protein L17,32.27,29.91,31.52,32.02,14.16
MRPL18,mitochondrial ribosomal protein L18,17.54,16.30,15.79,17.58,7.81
MRPL19,mitochondrial ribosomal protein L19,3.35,2.20,2.18,3.30,2.35
MRPL2,mitochondrial ribosomal protein L2,9.66,9.89,11.68,9.71,7.50
MRPL20,mitochondrial ribosomal protein L20,22.54,21.56,24.41,23.25,7.75
MRPL21,mitochondrial ribosomal protein L21,5.55,4.49,4.82,5.48,3.16
MRPL22,mitochondrial ribosomal protein L22,1.70,1.44,1.37,1.66,1.27
MRPL23,mitochondrial ribosomal protein L23,3.76,4.23,4.66,3.71,3.20
MRPL24,mitochondrial ribosomal protein L24,13.90,16.33,16.29,13.57,13.45
MRPL27,mitochondrial ribosomal protein L27,10.95,9.73,8.91,10.29,6.24
MRPL28,mitochondrial ribosomal protein L28,24.18,26.21,29.27,24.62,11.48
MRPL3,mitochondrial ribosomal protein L3,4.69,3.84,3.85,4.52,2.85
MRPL30,mitochondrial ribosomal protein L30,6.21,4.30,3.75,6.00,4.35
MRPL32,mitochondrial ribosomal protein L32,12.57,11.05,10.72,11.35,9.04
MRPL33,mitochondrial ribosomal protein L33,4.97,3.70,3.82,4.88,3.00
MRPL34,mitochondrial ribosomal protein L34,28.59,28.57,27.78,26.43,13.53
MRPL35,mitochondrial ribosomal protein L35,7.11,5.27,5.18,6.51,3.03
MRPL36,mitochondrial ribosomal protein L36,27.56,27.80,25.69,25.83,12.16
MRPL37,mitochondrial ribosomal protein L37,10.35,9.30,9.30,10.19,6.87
MRPL38,mitochondrial ribosomal protein L38,12.03,11.95,12.94,11.81,7.27
MRPL39,mitochondrial ribosomal protein L39,3.42,2.39,2.19,3.39,2.01
MRPL4,mitochondrial ribosomal protein L4,14.13,18.42,19.87,13.61,8.53
MRPL40,mitochondrial ribosomal protein L40,12.10,10.57,12.20,12.02,5.29
MRPL41,mitochondrial ribosomal protein L41,20.14,20.85,22.29,20.68,12.08
MRPL42,mitochondrial ribosomal protein L42,2.54,1.69,1.47,2.37,1.36
MRPL43,mitochondrial ribosomal protein L43,8.95,9.45,9.59,8.43,5.97
MRPL44,mitochondrial ribosomal protein L44,4.62,3.63,3.64,4.52,3.74
MRPL45,mitochondrial ribosomal protein L45,2.63,2.21,2.05,2.50,2.37
MRPL46,mitochondrial ribosomal protein L46,4.56,3.89,3.84,8.40,5.32
MRPL47,mitochondrial ribosomal protein L47,4.77,3.03,2.88,4.51,2.22
MRPL48,mitochondrial ribosomal protein L48,0.56,0.46,0.46,0.59,0.51
MRPL49,mitochondrial ribosomal protein L49,23.39,21.56,19.00,22.44,9.47
MRPL50,mitochondrial ribosomal protein L50,4.42,3.10,2.74,4.27,3.15
MRPL51,mitochondrial ribosomal protein L51,108.36,96.18,78.67,105.65,55.25
MRPL52,mitochondrial ribosomal protein L52,8.50,7.35,7.94,7.94,8.92
MRPL53,mitochondrial ribosomal protein L53,10.30,11.90,14.00,10.67,9.02
MRPL54,mitochondrial ribosomal protein L54,6.06,5.83,6.23,5.93,4.17
MRPL55,mitochondrial ribosomal protein L55,8.35,10.04,10.42,8.69,5.94
MRPL9,mitochondrial ribosomal protein L9,18.65,16.64,16.56,17.90,14.41
MRPS10,mitochondrial ribosomal protein S10,5.60,4.06,3.69,5.23,3.41
MRPS11,mitochondrial ribosomal protein S11,4.62,4.97,4.93,9.08,4.66
MRPS12,mitochondrial ribosomal protein S12,23.14,21.97,22.89,22.07,8.58
MRPS14,mitochondrial ribosomal protein S14,2.44,1.72,1.70,2.46,1.92
MRPS15,mitochondrial ribosomal protein S15,12.33,9.97,9.90,11.38,4.14
MRPS16,mitochondrial ribosomal protein S16,27.77,23.91,23.66,26.57,18.37
MRPS17,mitochondrial ribosomal protein S17,8.80,8.32,8.23,8.91,4.32
MRPS18A,mitochondrial ribosomal protein S18A,2.18,2.26,2.07,2.33,1.55
MRPS18B,mitochondrial ribosomal protein S18B,10.64,8.98,9.07,10.17,7.51
MRPS18C,mitochondrial ribosomal protein S18C,8.47,5.99,6.46,8.17,6.81
MRPS2,mitochondrial ribosomal protein S2,25.05,25.98,26.83,25.26,16.28
MRPS21,mitochondrial ribosomal protein S21,5.92,5.27,5.37,5.91,5.14
MRPS22,mitochondrial ribosomal protein S22,6.67,5.45,4.84,5.89,3.66
MRPS23,mitochondrial ribosomal protein S23,8.08,5.35,5.78,7.37,3.83
MRPS24,mitochondrial ribosomal protein S24,18.13,15.37,14.89,18.05,11.87
MRPS25,mitochondrial ribosomal protein S25,6.00,6.53,5.76,5.95,6.07
MRPS26,mitochondrial ribosomal protein S26,26.97,24.56,24.91,26.20,14.37
MRPS27,mitochondrial ribosomal protein S27,1.56,1.37,1.13,1.52,1.25
MRPS28,mitochondrial ribosomal protein S28,0.35,0.29,0.25,0.36,0.32
MRPS30,mitochondrial ribosomal protein S30,8.75,6.31,5.62,8.34,5.74
MRPS31,mitochondrial ribosomal protein S31,1.11,0.85,0.82,1.00,0.74
MRPS33,mitochondrial ribosomal protein S33,4.06,2.64,2.68,3.87,2.50
MRPS34,mitochondrial ribosomal protein S34,78.21,86.93,92.26,76.40,33.41
MRPS35,mitochondrial ribosomal protein S35,2.32,1.52,1.40,2.17,1.91
MRPS36,mitochondrial ribosomal protein S36,2.07,1.13,1.00,1.82,1.05
MRPS5,mitochondrial ribosomal protein S5,3.01,2.92,2.96,2.80,2.03
MRPS6,mitochondrial ribosomal protein S6,1.98,1.66,1.41,1.85,1.67
MRPS7,mitochondrial ribosomal protein S7,18.69,15.31,15.47,19.05,8.26
MRPS9,mitochondrial ribosomal protein S9,1.59,1.38,1.24,1.57,0.97
MRRF,mitochondrial ribosome recycling factor,1.12,0.88,0.82,1.13,0.71
MRTO4,mRNA turnover 4 homolog (S. cerevisiae),18.13,17.15,17.25,16.79,10.01
MSI1,musashi RNA-binding protein 1,1.73,2.11,2.68,1.72,0.05
MSI2,musashi RNA-binding protein 2,0.22,0.21,0.22,0.23,0.10
MSL3,male-specific lethal 3 homolog (Drosophila),3.79,3.92,4.26,3.66,3.53
MTERFD2,MTERF domain containing 2,2.75,3.13,3.28,2.88,2.88
MTFMT,mitochondrial methionyl-tRNA formyltransferase,0.89,0.74,0.64,1.46,0.94
MTG1,Mitochondrial GTPase 1 ,2.33,2.43,2.54,2.00,1.12
MTHFSD,methenyltetrahydrofolate synthetase domain containing,1.11,1.19,1.30,1.00,1.27
MTIF2,mitochondrial translational initiation factor 2,2.40,1.93,2.04,2.22,1.75
MTIF3,mitochondrial translational initiation factor 3,1.94,1.98,1.66,1.69,2.16
MTO1,mitochondrial translation optimization 1 homolog (S. cerevisiae),1.31,0.88,0.85,1.22,1.06
MTPAP,mitochondrial poly(A) polymerase,1.24,0.91,0.84,1.21,1.02
MTRF1,mitochondrial translational release factor 1,0.41,0.31,0.32,0.36,0.42
MVP,major vault protein,0.49,0.51,0.51,0.49,0.76
MYEF2,myelin expression factor 2,1.50,1.66,1.90,1.59,0.91
N4BP1,NEDD4 binding protein 1,0.81,0.68,0.61,0.79,0.57
NAA38,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit",6.65,5.41,4.77,5.90,4.94
NAF1,nuclear assembly factor 1 homolog (S. cerevisiae),0.83,0.81,0.87,0.82,0.54
NANOS1,nanos homolog 1 (Drosophila),1.97,1.78,1.52,2.13,1.33
NANOS2,nanos homolog 2 (Drosophila),0.00,0.00,0.00,0.02,0.00
NARS,asparaginyl-tRNA synthetase,18.10,11.44,10.72,16.43,13.10
NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)",0.35,0.26,0.32,0.32,0.37
NAT10,N-acetyltransferase 10 (GCN5-related),5.02,4.78,5.01,5.03,3.93
NCBP1,"nuclear cap binding protein subunit 1, 80kDa",3.85,2.70,2.78,3.45,2.25
NCBP2,"nuclear cap binding protein subunit 2, 20kDa",26.37,22.13,20.79,26.38,17.93
NCL,nucleolin,233.12,227.39,229.62,235.35,117.28
NELFE,negative elongation factor complex member E,8.47,9.41,10.19,8.19,6.31
NFX1,"nuclear transcription factor, X-box binding 1",1.01,0.93,0.93,1.10,1.10
NGDN,"neuroguidin, EIF4E binding protein",6.59,5.90,6.06,6.30,4.36
NHP2,NHP2 ribonucleoprotein,24.21,22.50,23.39,23.20,16.16
NHP2L1,NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae),21.49,17.75,18.32,21.80,17.78
NIFK,MKI67 (FHA domain) interacting nucleolar phosphoprotein,13.27,10.48,11.16,12.24,8.25
NIP7,nuclear import 7 homolog (S. cerevisiae),19.73,15.08,15.39,19.35,10.88
NKRF,NFKB repressing factor,6.19,4.89,4.50,5.90,3.29
NMD3,NMD3 homolog (S. cerevisiae),2.25,1.39,1.33,2.09,2.29
NOA1,nitric oxide associated 1,2.73,2.48,2.29,2.59,4.07
NOB1,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),7.70,8.06,8.59,7.60,8.76
NOC2L,nucleolar complex associated 2 homolog (S. cerevisiae),20.64,22.91,26.13,20.42,8.74
NOC3L,nucleolar complex associated 3 homolog (S. cerevisiae),2.19,1.76,1.95,2.22,1.49
NOC4L,nucleolar complex associated 4 homolog (S. cerevisiae),4.59,6.43,7.13,4.57,2.52
NOL10,nucleolar protein 10,0.76,0.61,0.60,0.76,0.38
NOL11,nucleolar protein 11,7.17,4.96,4.87,7.07,3.33
NOL12,nucleolar protein 12,4.34,6.01,6.20,4.15,2.38
NOL3,nucleolar protein 3 (apoptosis repressor with CARD domain),3.63,4.49,5.13,3.48,2.71
NOL6,nucleolar protein family 6 (RNA-associated),10.55,10.98,12.17,10.73,5.51
NOL7,"nucleolar protein 7, 27kDa",14.58,11.65,12.17,14.13,9.31
NOL8,nucleolar protein 8,3.51,3.26,3.04,3.51,3.20
NOL9,nucleolar protein 9,0.85,0.77,0.73,0.81,0.43
NOLC1,nucleolar and coiled-body phosphoprotein 1,44.41,42.31,43.05,45.29,33.93
NOM1,nucleolar protein with MIF4G domain 1,2.42,2.56,2.48,2.27,1.88
NONO,"non-POU domain containing, octamer-binding",81.83,82.83,82.02,82.29,64.95
NOP10,NOP10 ribonucleoprotein,179.04,144.16,65.00,86.31,50.96
NOP14,NOP14 nucleolar protein,5.32,6.15,6.47,5.26,5.01
NOP16,NOP16 nucleolar protein,23.40,23.66,22.69,23.08,14.28
NOP2,NOP2 nucleolar protein,15.50,15.81,17.22,15.21,7.96
NOP56,NOP56 ribonucleoprotein,77.65,75.58,79.21,73.63,43.64
NOP58,NOP58 ribonucleoprotein,6.71,5.58,6.13,6.69,5.01
NOP9,NOP9 nucleolar protein homolog (yeast),13.77,13.49,13.30,14.03,7.47
NOVA1,neuro-oncological ventral antigen 1,0.11,0.10,0.09,0.09,0.00
NOVA2,neuro-oncological ventral antigen 2,0.07,0.06,0.07,0.08,0.00
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",59.57,52.20,50.33,57.82,47.31
NPM2,nucleophosmin/nucleoplasmin 2,0.00,0.01,0.00,0.01,0.44
NPM3,nucleophosmin/nucleoplasmin 3,36.40,24.67,28.23,37.85,34.97
NSA2,NSA2 ribosome biogenesis homolog (S. cerevisiae),10.16,8.53,9.02,10.35,9.17
NSRP1,nuclear speckle splicing regulatory protein 1,1.04,1.16,1.24,1.06,0.72
NSUN2,"NOP2/Sun RNA methyltransferase family, member 2",6.53,5.74,6.11,6.37,3.62
NSUN3,"NOP2/Sun domain family, member 3",0.61,0.52,0.51,0.59,0.47
NSUN4,"NOP2/Sun domain family, member 4",1.14,0.99,0.98,1.17,1.45
NSUN5,"NOP2/Sun domain family, member 5",6.71,7.20,8.83,6.57,4.27
NSUN6,"NOP2/Sun domain family, member 6",0.23,0.21,0.21,0.20,0.24
NSUN7,"NOP2/Sun domain family, member 7",0.04,0.03,0.03,0.03,0.07
NUDT16,nudix (nucleoside diphosphate linked moiety X)-type motif 16,7.01,7.92,9.58,6.76,5.11
NUDT16L1,nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1,6.73,6.62,8.55,7.12,5.45
NUDT21,nudix (nucleoside diphosphate linked moiety X)-type motif 21,13.57,9.45,9.41,13.65,10.97
NUFIP1,nuclear fragile X mental retardation protein interacting protein 1,0.64,0.56,0.54,0.64,0.38
NUFIP2,nuclear fragile X mental retardation protein interacting protein 2,4.81,4.01,4.06,4.87,5.40
NUP153,nucleoporin 153kDa,2.08,1.69,1.79,2.03,1.67
NUPL2,nucleoporin like 2,3.30,2.63,2.66,3.06,2.36
NUTF2,nuclear transport factor 2,7.17,6.50,6.89,7.18,3.59
NXF1,nuclear RNA export factor 1,7.62,8.10,8.42,7.83,4.96
NXF2,"HCG2045905, isoform CRA_a ",0.00,0.00,0.00,0.00,0.01
NXF2B,nuclear RNA export factor 2B,0.00,0.00,0.00,0.00,0.00
NXF3,nuclear RNA export factor 3,0.12,0.08,0.07,0.11,5.23
NXF5,nuclear RNA export factor 5,0.00,0.00,0.00,0.00,0.00
NXT1,NTF2-like export factor 1,5.29,4.47,4.51,4.67,4.17
NXT2,nuclear transport factor 2-like export factor 2,4.52,3.36,1.98,3.96,2.93
NYNRIN,NYN domain and retroviral integrase containing,1.19,1.02,0.62,1.23,0.86
OAS1,"2'-5'-oligoadenylate synthetase 1, 40/46kDa",0.18,0.07,0.00,0.08,0.14
OAS2,"2'-5'-oligoadenylate synthetase 2, 69/71kDa",0.09,0.06,0.03,0.02,0.03
OAS3,"2'-5'-oligoadenylate synthetase 3, 100kDa",0.50,0.48,0.29,0.38,0.19
OASL,2'-5'-oligoadenylate synthetase-like,0.00,0.00,0.00,0.01,0.05
OBFC1,oligonucleotide/oligosaccharide-binding fold containing 1,0.31,0.31,0.32,0.30,0.66
PA2G4,"proliferation-associated 2G4, 38kDa",70.20,71.97,71.48,69.44,41.19
PABPC1,"poly(A) binding protein, cytoplasmic 1",58.19,55.41,59.44,58.23,241.87
PABPC1L,"poly(A) binding protein, cytoplasmic 1-like",0.48,0.92,1.32,0.48,0.57
PABPC1L2A,"poly(A) binding protein, cytoplasmic 1-like 2A",0.44,0.37,0.72,0.40,0.15
PABPC1L2B,"poly(A) binding protein, cytoplasmic 1-like 2B",0.36,0.25,0.38,0.35,0.18
PABPC3,"poly(A) binding protein, cytoplasmic 3",10.79,9.04,9.52,11.35,44.46
PABPC4,"poly(A) binding protein, cytoplasmic 4 (inducible form)",20.16,19.34,18.65,19.93,17.16
PABPC4L,"poly(A) binding protein, cytoplasmic 4-like",4.87,4.25,2.84,4.34,1.21
PABPN1,"poly(A) binding protein, nuclear 1",51.14,59.00,60.51,53.03,52.54
PABPN1L,"poly(A) binding protein, nuclear 1-like (cytoplasmic)",0.01,0.00,0.00,0.00,0.17
PAIP1,poly(A) binding protein interacting protein 1,3.25,2.20,1.88,3.65,1.32
PAIP2,poly(A) binding protein interacting protein 2,4.83,3.21,3.04,4.64,4.09
PAIP2B,poly(A) binding protein interacting protein 2B,0.27,0.21,0.25,0.33,0.14
PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae),4.29,4.67,4.09,4.43,3.93
PAN3,PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae),0.20,0.16,0.14,0.19,0.37
PAPD4,PAP associated domain containing 4,0.63,0.54,0.49,0.62,1.15
PAPD5,PAP associated domain containing 5,0.50,0.36,0.35,0.50,0.24
PAPD7,PAP associated domain containing 7,1.38,1.47,1.39,1.45,1.15
PAPOLA,poly(A) polymerase alpha,1.63,1.13,0.93,1.57,1.31
PAPOLB,poly(A) polymerase beta (testis specific),0.00,0.00,0.00,0.01,0.00
PAPOLG,poly(A) polymerase gamma,0.67,0.50,0.50,0.63,0.63
PARK7,parkinson protein 7,9.51,7.52,8.15,9.66,5.79
PARN,poly(A)-specific ribonuclease,0.38,0.39,0.39,0.40,0.23
PARP1,poly (ADP-ribose) polymerase 1,13.52,14.05,13.66,12.87,4.27
PARP12,"poly (ADP-ribose) polymerase family, member 12",0.50,0.42,0.12,0.39,0.59
PARP4,"poly (ADP-ribose) polymerase family, member 4",1.05,0.90,0.80,1.05,1.29
PARS2,"prolyl-tRNA synthetase 2, mitochondrial (putative)",1.57,1.20,1.49,1.62,1.45
PATL1,protein associated with topoisomerase II homolog 1 (yeast),3.37,3.33,2.87,3.45,2.92
PATL2,protein associated with topoisomerase II homolog 2 (yeast),0.09,0.07,0.03,0.07,0.36
PCBP1,poly(rC) binding protein 1,216.83,207.10,205.06,223.50,146.85
PCBP2,poly(rC) binding protein 2,21.41,18.79,18.94,21.51,20.13
PCBP3,poly(rC) binding protein 3,0.13,0.16,0.09,0.11,0.02
PCBP4,poly(rC) binding protein 4,6.17,7.65,11.90,6.33,3.16
PCF11,"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)",2.92,2.72,2.94,2.98,3.74
PDCD11,programmed cell death 11,3.81,3.91,4.05,3.98,3.07
PDCD4,programmed cell death 4 (neoplastic transformation inhibitor),0.80,0.75,0.89,0.94,3.75
PDCD7,programmed cell death 7,2.40,1.87,1.79,4.72,6.77
PDE12,phosphodiesterase 12,6.63,5.39,3.82,6.47,3.51
PEG10,paternally expressed 10,113.80,98.18,165.42,108.46,4.73
PELO,pelota homolog (Drosophila),2.30,1.77,1.84,2.36,1.08
PES1,pescadillo ribosomal biogenesis factor 1,13.22,14.62,15.66,12.85,7.12
PET112,PET112 homolog (yeast),0.57,0.55,0.55,0.51,0.46
PHAX,phosphorylated adaptor for RNA export,2.30,1.73,1.60,2.28,0.87
PHF5A,PHD finger protein 5A,6.89,6.05,6.55,6.77,3.63
PHRF1,PHD and ring finger domains 1,2.28,3.06,3.29,2.28,1.23
PIH1D1,PIH1 domain containing 1,9.87,10.76,11.30,9.41,6.88
PIH1D2,PIH1 domain containing 2,0.27,0.22,0.22,0.15,0.06
PIH1D3,PIH1 domain containing 3,0.00,0.00,0.00,0.00,0.00
PIN4,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)",2.25,2.06,2.02,2.20,1.37
PINX1,"PIN2/TERF1 interacting, telomerase inhibitor 1",0.64,0.63,0.60,0.60,0.54
PIWIL1,piwi-like 1 (Drosophila),0.00,0.00,0.00,0.00,0.00
PIWIL2,piwi-like 2 (Drosophila),0.00,0.00,0.00,0.00,0.00
PIWIL3,piwi-like 3 (Drosophila),0.11,0.12,0.09,0.11,0.05
PIWIL4,piwi-like 4 (Drosophila),0.01,0.01,0.01,0.01,0.04
PLD6,"phospholipase D family, member 6",15.30,15.83,12.36,17.92,8.39
PLRG1,pleiotropic regulator 1,7.14,5.13,4.80,6.15,4.10
PNLDC1,poly(A)-specific ribonuclease (PARN)-like domain containing 1,0.03,0.03,0.04,0.04,0.02
PNN,"pinin, desmosome associated protein",39.75,48.74,49.64,38.02,41.69
PNO1,partner of NOB1 homolog (S. cerevisiae),4.27,3.25,3.40,4.31,1.53
PNPT1,polyribonucleotide nucleotidyltransferase 1,2.32,1.70,1.54,2.12,0.86
PNRC2,proline-rich nuclear receptor coactivator 2,33.32,28.34,27.93,33.63,43.03
POLDIP3,"polymerase (DNA-directed), delta interacting protein 3",5.37,5.62,5.78,5.28,3.69
POLR1E,"polymerase (RNA) I polypeptide E, 53kDa",4.07,3.40,3.78,4.09,3.22
POLR2A,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",14.26,19.63,20.27,13.38,8.29
POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",5.71,4.02,3.96,5.42,3.74
POLR2D,polymerase (RNA) II (DNA directed) polypeptide D,8.34,6.77,7.10,8.21,5.10
POLR2E,"polymerase (RNA) II (DNA directed) polypeptide E, 25kDa",25.86,29.92,31.97,25.01,12.98
POLR2F,polymerase (RNA) II (DNA directed) polypeptide F,1.02,0.96,1.02,0.97,0.51
POLR2G,polymerase (RNA) II (DNA directed) polypeptide G,14.02,12.07,12.42,13.20,12.07
POLR2H,polymerase (RNA) II (DNA directed) polypeptide H,14.51,11.64,11.44,14.18,9.50
POLR2I,"polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa",19.40,21.18,23.54,19.87,9.47
POLR2J,"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa",7.71,10.05,10.70,7.00,4.77
POLR2J2,DNA-directed RNA polymerase II subunit RPB11-b1,2.69,3.30,3.43,2.85,1.94
POLR2J3,polymerase (RNA) II (DNA directed) polypeptide J3,0.44,0.67,0.70,0.47,0.53
POLR2K,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",16.17,12.11,11.62,14.89,15.64
POLR2L,"polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa",27.10,31.91,38.45,29.68,11.21
POLRMT,polymerase (RNA) mitochondrial (DNA directed),2.85,3.25,3.94,2.75,1.97
POP1,"processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)",2.25,1.77,2.08,2.21,1.16
POP4,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)",4.31,4.07,3.79,4.07,2.26
POP5,"processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)",12.69,8.67,9.31,12.82,9.52
POP7,"processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)",41.73,42.21,37.77,39.39,15.57
PPAN,peter pan homolog (Drosophila),12.13,17.98,20.58,12.70,11.47
PPARGC1A,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",0.00,0.00,0.00,0.00,0.00
PPARGC1B,"peroxisome proliferator-activated receptor gamma, coactivator 1 beta",0.28,0.30,0.28,0.28,0.17
PPIE,peptidylprolyl isomerase E (cyclophilin E),3.60,2.93,3.12,3.28,3.01
PPIH,peptidylprolyl isomerase H (cyclophilin H),3.94,3.83,4.19,3.88,5.51
PPIL3,peptidylprolyl isomerase (cyclophilin)-like 3,0.86,0.62,0.72,0.85,0.79
PPIL4,peptidylprolyl isomerase (cyclophilin)-like 4,1.07,1.01,1.07,1.04,0.77
PPP1R10,"protein phosphatase 1, regulatory subunit 10",8.44,8.23,8.96,8.45,3.88
PPP1R8,"protein phosphatase 1, regulatory subunit 8",5.33,4.65,4.51,5.26,3.94
PPRC1,"peroxisome proliferator-activated receptor gamma, coactivator-related 1",8.55,10.15,11.27,8.84,7.37
PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1,2.20,1.91,1.96,2.12,2.59
PQBP1,polyglutamine binding protein 1,25.71,29.59,30.47,26.85,14.27
PRDX1,peroxiredoxin 1,71.73,53.17,59.68,64.36,30.60
PRIM1,"primase, DNA, polypeptide 1 (49kDa)",2.31,1.68,1.91,1.89,2.63
PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",3.42,2.29,2.23,3.37,4.58
PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",3.56,3.36,3.65,3.44,3.14
PRPF18,PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae),0.54,0.43,0.41,0.55,0.37
PRPF19,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),20.51,20.16,20.35,20.49,11.35
PRPF3,PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae),3.49,3.84,4.15,3.53,1.82
PRPF31,PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae),6.41,7.78,8.37,6.22,3.35
PRPF38A,PRP38 pre-mRNA processing factor 38 (yeast) domain containing A,8.82,7.97,7.67,8.68,5.88
PRPF38B,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B,13.18,15.20,15.22,13.01,9.32
PRPF39,PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae),2.14,1.83,1.74,2.01,1.80
PRPF4,PRP4 pre-mRNA processing factor 4 homolog (yeast),7.21,6.18,5.77,7.01,3.94
PRPF40A,PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae),4.03,3.57,3.50,4.06,3.57
PRPF40B,PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae),1.21,1.35,1.35,1.07,0.25
PRPF4B,PRP4 pre-mRNA processing factor 4 homolog B (yeast),4.69,4.66,4.29,4.59,3.01
PRPF6,PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae),2.91,3.25,3.69,2.93,1.69
PRPF8,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae),26.03,24.98,25.46,26.79,17.32
PRR3,proline rich 3,7.12,7.65,8.22,6.92,3.66
PSIP1,PC4 and SFRS1 interacting protein 1,3.29,3.82,4.13,3.50,2.15
PSMA1,"proteasome (prosome, macropain) subunit, alpha type, 1",12.92,8.76,8.75,12.16,10.78
PSMA6,"proteasome (prosome, macropain) subunit, alpha type, 6",5.43,3.73,3.70,5.03,4.16
PSPC1,paraspeckle component 1,1.01,1.09,0.98,1.08,0.56
PSTK,phosphoseryl-tRNA kinase,0.29,0.34,0.33,0.25,0.72
PTBP1,polypyrimidine tract binding protein 1,35.85,39.34,41.36,34.69,23.47
PTBP2,polypyrimidine tract binding protein 2,0.42,0.39,0.46,0.46,0.22
PTBP3,polypyrimidine tract binding protein 3,1.39,1.12,0.75,1.11,1.67
PTCD1,pentatricopeptide repeat domain 1,2.74,2.93,2.90,2.75,1.67
PTCD2,pentatricopeptide repeat domain 2,0.52,0.37,0.39,0.49,0.43
PTCD3,pentatricopeptide repeat domain 3,5.24,3.91,4.11,5.33,4.68
PTGES3,prostaglandin E synthase 3 (cytosolic),26.89,17.25,17.87,24.94,12.24
PTGES3L-AARSD1,PTGES3L-AARSD1 readthrough,1.40,1.56,1.73,1.41,1.32
PTRF,polymerase I and transcript release factor,4.39,3.55,3.54,4.31,3.46
PTRH1,peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae),0.22,0.25,0.20,0.22,0.17
PTRH2,peptidyl-tRNA hydrolase 2,4.63,4.34,3.68,4.84,3.21
PTRHD1,peptidyl-tRNA hydrolase domain containing 1,4.37,4.19,3.80,4.87,2.82
PUF60,poly-U binding splicing factor 60KDa,17.50,17.72,20.24,18.12,13.65
PUM1,pumilio homolog 1 (Drosophila),0.97,1.02,1.03,0.96,0.79
PUM2,pumilio homolog 2 (Drosophila),2.05,1.58,1.49,1.87,2.13
PURA,purine-rich element binding protein A,9.26,7.58,6.95,7.85,6.42
PURB,purine-rich element binding protein B,6.33,4.57,4.38,6.04,6.64
PURG,purine-rich element binding protein G,0.17,0.11,0.09,0.16,0.14
PUS1,pseudouridylate synthase 1,4.98,5.69,5.81,4.90,3.01
